"rand_index","index","translation","reference_translation","accuracy"
91,312,"Die Europäische Kommission (EC) hat einen grossen Aufwand für Lösungen für das Problem investiert, beispielsweise mit der Lancierung des EU Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
92,1,"In verschiedenen Situationen wurde der Einfluss von sozialen Verhaltensinformationen bewiesen.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
93,261,"Während Umweltwerte während eines Lebens stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden wie beispielsweise durch Informationen bezüglich der Energies","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
94,281,"Die Europeam Commission (EC) hat viel Aufwand für die Bewältigung diese Problems betrieben, wie zum Beispiel die Gründung des EU Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
95,53,"Untersuchungen zeigen, dass es zu Veränderungen bezügl. Energie- und Wasserverbauch, sowie Beiträgen zu wohltätigen Zwecken und Energiesparenden MaSsnahmen führt, Menschen aufzuzeigen, wie ihrhandeln imvergleich it anderen Menschen aussieht.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
96,212,"Als ersten testen wir ob der HER einen Einfluss auf ","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
97,350,"Die Europäische Kommission (EK) hat viel Mühe darin gesteckt, die Problematik zu lösen, wie sich am Beispiel des im Januar 2018 gestarteten EU Energy Poverty Observation zeigt.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
98,374,"In diesem Projekt ist das Energy Consumpion Research Institute für die technische Ausbildung der HEAs und die Planung der Pilottätigkeiten zuständig.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
99,166,"Eine erhöhte Wahrnehmung der Norm, Energie zu sparen, könnte dann einen Einfluss auf den Energiekonsum haben.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
100,258,"Ein weiteres Ziel dieserArbeit ist es, mögliche Mechanismen auszutesten um das HER noch effektiver zu machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
101,291,"Die Energiearmut ist eine der grössten sozialen, technischen und legislativen Herausforderung, mit welcher sich Europa heute konfrontiert sind. Man schätzt, dass 50 bis 125 millionen Menschen davon betroffen sind.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
102,211,"Das zweite Ziel des Papers ist es mögliche Mechanismen den HER effectiver zu machen zu testen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
103,449,"Die Europäische Kommission (EC) hat viel Aufwand in die Lösung dieses Problems gesteckt, wie beispielsweise mit dem kürzlichen Beginn des EU Energy ","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
104,507,"Energiearmut ist eines der Hauptprobleme  Europas sowohl sozial, technologisch wie auch gesetzlich mit einer Anzahl von geschätzt 50 bis 125 Millionen betroffenen Menschen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
105,101,"Ein weiteres Ziel dieses Berichts ist es, mögliche Mechanismen auszuarbeiten, mit denen der HER effizienter werden könnte.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
106,355,"Der zweite Teil des Papers fasst kurz das den HEAs angebotene Training zusammen, ","Im zweiten Teil dieses Artikels wird kurz die Ausbildung vorgestellt, um aufzuzeigen, welche Kompetenzen HEAs benötigen, bevor sie energiegefährdete Konsumentinnen und Konsumenten beziehungsweise Familien beraten können und wie sie sich diese Kompetenzen aneignen.",""
107,210,"Der HER liefert verschiedene Elemente, von einer vergleichenden Statischen energy Verbrauchs (deskriptive Norm), über Rückmeldungen wie gut der Einzelne abschneidet (injuktive Norm), bis zu wie man einfach Energie sparen kann.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
108,138,"Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen hat möglicherweise einen Einfluss auf den Energieverbrauch.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
109,308,"In diesem Projekt ist das Energy Consumption Research Institute für die technische Einweisung der HEAs und für die Planung der Pilotmassnahmen zuständig.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
110,165,"Zuerst wurd getestet, ob der HER die Wahrnehmungen der Personen von Normen im Bereich der Energiekonservierung beeinflusst.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
111,497,"Der erste Teil des Artikels fasst die Resultate der statistischen Analysen, welche durchg","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
112,4,"Zum Beispiel haben Untersuchungen gezeigt, dass sich die Einstellung gegenüber Energie- und Wasserverbrauch, Spenden und Sparverhalten verändert, sobald man mit ähnlichen ","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
113,375,"Im vorliegenden Artikel werden die ersten Ergebnisse der oben erwähnten Aufgaben präsentiert.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
114,73,"Insbesondere ist wenig bekannt über die Quellen der Heterogenität, die in den be","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
115,369,"Bei diesem Projekt trägt das Enery Consuption Research Institute die Verantwortung für die technische Schulung der HEAs und für die Planung der Versuchsprojekte.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
116,179,"Zum Beispiel, vergangene Befunde zeigen, dass, wenn man Leuten erzählt wie ihre Tätigkeiten mit denjenigen von anderen verglichen werden, es sie ermutigt, ihren Energie- und Wasserverbauch, ihre Beiträge zu gemeinnützigen Organisationen und ihre Sparverhalten zu verändern. ","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
117,66,"Die Forschung zeigt, dass, wenn Mens","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
118,359,"Vor diesem Hintergrund verfolgt das (von der EU Commission im Sinne des Grant Agreement Nr. 12345 finanzierte) Projekt, an dem das Energy Consumption Research Institute beteiligt ist, das Ziel, Best Practices und Empfehlungen zur Minderung der Energiearmut bekanntzugeben.","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
119,267,"HER vermittelt verschiedene Elemente, von einem statischen Nachbarvergleich bezüglich ENergieverbrauch (deskriptive Norm), hin zu Rückmeldungen darüber, wie gut ein Individuum performt (injunktive norm), sowie Tipps zum Energiesparen.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
120,420,"Einer der wichtigen Aspekte, den die Ec betont, ist das Lernen aus Erfahrung und von bewährten Vorgehensweisen, die in vielen Mitgliedstaaten (MS) durchgefhrt werden.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
121,342,"Vor diesem Hintergrund ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
122,78,"Eine stärkere Wahrnehmung der Norm in Richtung Energieeinsparung kann dann den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
123,40,"HER umfasst verschiedene Elemente, wie eine statische Nachbarsvergleichung der Energieverbaucherniveaus (eine deskriptive Norm), Rückmeldung auf individuelle Performance (eine injuktive Norm) sowie Energiespartipps.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
124,279,"Die EC setzt dabei auf das Lernen durch Erfahrung und von bereits bewährten Praktiken in verschiedensten Mitgliedsstaaten (MS).","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
125,52,"Der Einfluss sozialer Informationen auf menschliches Verhalten wurde inverschiedenen Situationen bewiesen.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
126,176,"So hat die Forschung gezeigt, dass Menschen, deren Verhalten jenem vergleichbarer Personen gegenübergestellt wird, diese ermutigt, ihren Energie- und Wasserverbrauch zu reduzieren und ihren Beitrag zu wohltätigen Zwecken sowie Entscheide zu Einsparungen zu verändern.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
127,395,"Zudem führen die Unterschiedein den Daten, die in EU-Ländern zur Verfügung stehen, zu fragmentierten und oft inkompatiblen Verbrauchersegmentierungen in den Mitgliedsländern.","Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.",""
128,147,"Eine weitere wichtige Lücke in der Forschung ist das Verständnis der Mechanismen hinter den individuellen Reaktionen auf Opower's HER betreffend Ihres Energieverbrauchs.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
129,21,"Zum Beispiel zeigt die Forschung, dass es Menschen ermutigt, ihr Energie- und Wasserverbrauch, ihr Beitrag an Wohltätigkeit, und ihre Sparentscheidungen zu verändern, wenn ihnen gesagt wird, wie ihre Taten mit denen von anderen, ähnliche","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
130,266,"Eine weitere wichtige Lücke in der Froschungs ist das Verstehen von den Mechanismen hinter individueller Reaktion auf Die Opower Home Energy Report (HER) im Bereich Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
131,34,"Das HER liefert verschiedene Elemente, von einem statischen Nachbarsvergleich des Energieverbrauchs (beschreibende Norm) über Feedbacks zur individuellen Performance (injunktive Norm) bis hin zu Energiespartipps.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
132,71,"Forschung hat zum Beispiel gezeigt, dass durch das Informieren der Leute über ihre Tätigkeiten im Vergleich zu anderen, ähnlichen Leuten, ermutigt sie, ihren Energie- und Wasserverbrauch, ihren Beitrag zu charitable Gründen und ihre Spar-Entscheidungen zu ändern.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
